property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_category,floor_category
flat,sector 83,1.05,3.0,3.0,3,Moderately Old,1469.0,0.0,0.0,0.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 86,0.82,2.0,2.0,1,New Property,1300.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,High Floor
flat,sector 72,1.9,3.0,3.0,3,Moderately Old,1789.0,0.0,1.0,0.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 65,2.1,2.0,2.0,2,New Property,1187.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 65,2.75,4.0,4.0,3,Relatively New,1975.0,1.0,1.0,0.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 103,0.5,2.0,2.0,0,Relatively New,750.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 81,0.48,2.0,2.0,1,Relatively New,613.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 108,2.28,4.0,5.0,3+,Relatively New,2517.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 92,0.51,3.0,2.0,2,Relatively New,1132.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Low Floor
flat,sector 78,0.8,3.0,2.0,2,Moderately Old,1472.0,0.0,0.0,0.0,1.0,0.0,1.0,Medium,Mid Floor
house,sector 67a,1.83,4.0,4.0,2,New Property,2700.0,0.0,0.0,0.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 59,4.25,3.0,4.0,3,Under Construction,2079.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
house,sector 63,8.5,4.0,4.0,3+,New Property,3950.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 60,2.5,2.0,3.0,2,Relatively New,1404.0,1.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
