property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_category,floor_category
flat,sohna road,1.07,3.0,3.0,3+,Relatively New,1600.0,0.0,0.0,0.0,0.0,0.0,1.0,high,Mid Floor
flat,sector 102,1.95,3.0,4.0,3,Relatively New,2336.0,1.0,1.0,0.0,0.0,0.0,0.0,Medium,Mid Floor
house,sector 52,2.25,3.0,3.0,3,New Property,1800.0,0.0,1.0,0.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 3 phase 2,0.55,2.0,2.0,1,Relatively New,778.0,1.0,0.0,0.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 92,0.5,3.0,3.0,2,Relatively New,1069.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 102,1.9,3.0,4.0,3,Relatively New,1606.0,0.0,1.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 107,0.8,2.0,2.0,3+,New Property,1237.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 65,6.1,3.0,3.0,3,Moderately Old,3029.0,1.0,1.0,0.0,0.0,0.0,0.0,high,High Floor
flat,sohna road,0.21,1.0,1.0,1,Relatively New,438.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 68,1.0,2.0,2.0,2,New Property,1311.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 56,2.05,4.0,4.0,3+,Old Property,2600.0,0.0,0.0,1.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 85,1.05,2.0,2.0,3,Relatively New,1486.0,0.0,0.0,0.0,0.0,1.0,1.0,Low,Mid Floor
house,sector 49,6.75,5.0,4.0,2,New Property,4500.0,0.0,0.0,0.0,0.0,1.0,1.0,Low,Low Floor
flat,sector 81,0.31,1.0,1.0,1,Relatively New,367.0,0.0,0.0,0.0,0.0,0.0,2.0,Medium,High Floor
flat,sector 37d,1.77,4.0,3.0,3,Relatively New,2026.0,1.0,1.0,0.0,1.0,1.0,1.0,Low,High Floor
flat,gwal pahari,5.5,4.0,5.0,3+,New Property,5254.0,1.0,1.0,0.0,1.0,0.0,1.0,high,High Floor
flat,sector 92,0.61,3.0,2.0,2,Under Construction,1142.0,0.0,0.0,0.0,0.0,1.0,1.0,Low,Mid Floor
house,sector 57,7.25,9.0,9.0,3+,New Property,2700.0,0.0,1.0,0.0,1.0,1.0,0.0,Low,Low Floor
house,sector 57,4.7,3.0,3.0,2,Old Property,2160.0,0.0,1.0,0.0,0.0,1.0,1.0,Low,Low Floor
flat,sector 111,0.7,2.0,2.0,2,Relatively New,773.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 37d,1.45,3.0,3.0,3,Relatively New,1711.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 65,3.5,3.0,3.0,3,New Property,2282.0,1.0,1.0,0.0,1.0,0.0,0.0,high,High Floor
house,sector 4,3.2,3.0,3.0,2,Old Property,2250.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
house,sector 109,7.0,5.0,6.0,2,Relatively New,5400.0,0.0,1.0,0.0,0.0,0.0,1.0,high,Low Floor
flat,sector 63a,1.55,2.0,2.0,2,Under Construction,1167.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 65,3.0,3.0,3.0,3,Under Construction,1667.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 74,1.54,2.0,2.0,3+,Relatively New,1200.0,0.0,0.0,0.0,0.0,1.0,1.0,Medium,High Floor
flat,sector 67a,1.62,3.0,3.0,2,New Property,1347.0,0.0,0.0,1.0,0.0,0.0,0.0,Medium,Mid Floor
house,sector 26,18.0,5.0,4.0,3+,Moderately Old,4518.0,1.0,1.0,1.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 85,1.75,3.0,3.0,2,Relatively New,1825.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,High Floor
house,sector 109,12.0,5.0,6.0,3,Relatively New,7000.0,1.0,1.0,0.0,0.0,0.0,0.0,high,Low Floor
house,sector 54,5.7,4.0,4.0,0,Moderately Old,2430.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 2,0.98,2.0,2.0,3,Moderately Old,1282.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 37d,1.02,3.0,2.0,3,Under Construction,1540.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,High Floor
house,sohna road road,0.5,2.0,4.0,3,Relatively New,725.0,0.0,0.0,0.0,1.0,0.0,1.0,Low,Mid Floor
house,sector 26,4.5,3.0,3.0,2,Old Property,1350.0,0.0,0.0,0.0,1.0,0.0,0.0,Medium,Low Floor
flat,sector 85,1.19,2.0,2.0,3,Relatively New,1670.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,High Floor
flat,sector 80,1.4,3.0,4.0,2,Moderately Old,1922.0,0.0,1.0,0.0,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 69,1.4,3.0,3.0,2,Relatively New,1429.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Low Floor
flat,sector 2,0.56,1.0,1.0,2,Moderately Old,723.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 54,4.85,3.0,4.0,3+,Moderately Old,1607.0,0.0,1.0,0.0,0.0,0.0,2.0,high,Mid Floor
flat,sector 33,1.55,3.0,2.0,3+,New Property,1730.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 113,3.45,4.0,4.0,3,New Property,2355.0,1.0,1.0,0.0,0.0,0.0,0.0,high,High Floor
flat,sector 102,2.5,4.0,5.0,3+,Relatively New,2897.0,0.0,1.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
house,sector 48,4.95,7.0,7.0,3+,Old Property,2403.0,1.0,1.0,1.0,1.0,0.0,0.0,Medium,Low Floor
flat,sector 85,2.0,3.0,4.0,3,Relatively New,2181.0,0.0,1.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sohna road,0.74,2.0,2.0,3+,New Property,1344.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 51,1.7,3.0,4.0,3,Moderately Old,1773.0,0.0,0.0,1.0,1.0,0.0,1.0,Medium,Low Floor
flat,sector 48,2.5,4.0,5.0,3,Moderately Old,2167.0,0.0,0.0,0.0,0.0,1.0,0.0,Low,Low Floor
flat,sector 54,1.55,3.0,3.0,3,Moderately Old,1900.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 23,0.16,2.0,2.0,2,Moderately Old,707.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
house,sector 3,0.92,4.0,1.0,0,Old Property,603.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 54,3.25,3.0,3.0,3+,Old Property,2558.0,0.0,0.0,0.0,1.0,0.0,0.0,Medium,Low Floor
flat,sector 37d,2.08,4.0,4.0,3,New Property,2213.0,1.0,1.0,0.0,1.0,0.0,1.0,Medium,Low Floor
flat,sector 106,1.4,4.0,6.0,3+,Relatively New,1535.0,0.0,1.0,0.0,0.0,0.0,1.0,high,Mid Floor
flat,sector 37d,1.35,3.0,3.0,3+,Relatively New,1600.0,0.0,0.0,0.0,1.0,0.0,1.0,Medium,Mid Floor
flat,sohna road,0.85,3.0,2.0,2,New Property,1080.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 83,1.05,3.0,2.0,2,Moderately Old,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 102,1.41,2.0,2.0,3,Relatively New,1239.0,0.0,0.0,0.0,0.0,1.0,1.0,Low,Low Floor
flat,sector 33,1.45,3.0,2.0,3+,Under Construction,118.0,1.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 102,2.2,3.0,4.0,3+,Relatively New,1186.0,1.0,1.0,0.0,0.0,0.0,0.0,Low,High Floor
flat,sector 99a,1.38,4.0,5.0,3+,Relatively New,2150.0,0.0,1.0,0.0,0.0,1.0,1.0,Low,Low Floor
flat,sector 33,1.4,2.0,2.0,3,Under Construction,1449.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 95,0.38,3.0,2.0,1,Relatively New,716.0,0.0,0.0,0.0,1.0,0.0,0.0,Medium,Low Floor
flat,manesar,0.5,2.0,2.0,0,Under Construction,1300.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
house,sector 25,15.0,5.0,5.0,3,Moderately Old,6400.0,1.0,1.0,0.0,1.0,0.0,0.0,Medium,Low Floor
flat,sector 85,2.14,4.0,4.0,3,Relatively New,2300.0,1.0,1.0,0.0,1.0,0.0,1.0,Low,Mid Floor
house,sector 11,0.24,2.0,2.0,0,Relatively New,450.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
house,sector 47,4.6,2.0,6.0,3+,Moderately Old,1728.0,0.0,0.0,0.0,0.0,0.0,2.0,Medium,Mid Floor
flat,sector 24,6.5,4.0,5.0,3+,New Property,3889.0,0.0,1.0,0.0,0.0,0.0,2.0,Low,Mid Floor
flat,sector 105,0.42,3.0,2.0,1,Relatively New,1111.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 37d,1.2,3.0,2.0,1,Under Construction,1900.0,0.0,1.0,0.0,0.0,1.0,1.0,Medium,Mid Floor
flat,gwal pahari,0.38,1.0,1.0,1,Moderately Old,565.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,High Floor
flat,sector 83,0.65,1.0,1.0,0,Relatively New,700.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 92,0.71,3.0,3.0,2,Relatively New,1596.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 50,2.35,3.0,3.0,3,Moderately Old,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 4,0.42,2.0,2.0,1,Relatively New,833.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,Mid Floor
house,sector 48,8.4,4.0,4.0,3,Old Property,3240.0,0.0,1.0,0.0,1.0,0.0,0.0,Low,Low Floor
flat,sector 107,1.35,3.0,4.0,3+,Relatively New,1950.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium,Mid Floor
house,sector 105,1.3,3.0,3.0,1,Moderately Old,1125.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 50,2.92,3.0,3.0,3,Moderately Old,2600.0,0.0,1.0,0.0,0.0,0.0,0.0,high,Mid Floor
flat,sohna road,0.4,2.0,2.0,1,New Property,615.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sohna road,0.9,3.0,3.0,3,Relatively New,1599.0,0.0,0.0,0.0,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 84,0.85,2.0,2.0,3,Relatively New,1159.0,0.0,0.0,0.0,0.0,0.0,0.0,Low,Mid Floor
house,sector 23,5.65,7.0,7.0,3+,Moderately Old,5000.0,0.0,1.0,0.0,1.0,0.0,1.0,Medium,Low Floor
flat,sector 112,0.7,2.0,2.0,2,Relatively New,1498.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
house,sector 48,8.4,4.0,5.0,3+,Moderately Old,4000.0,1.0,1.0,0.0,1.0,0.0,0.0,Low,Low Floor
flat,sector 33,2.1,3.0,3.0,2,Under Construction,1620.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 68,1.1,2.0,2.0,3,New Property,1128.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
house,sector 70a,5.4,4.0,5.0,3+,Relatively New,2610.0,1.0,1.0,1.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 69,1.8,4.0,5.0,3+,Relatively New,2200.0,0.0,1.0,0.0,0.0,0.0,1.0,high,Mid Floor
flat,manesar,0.85,3.0,3.0,2,Moderately Old,2556.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 37d,1.65,3.0,3.0,2,Relatively New,1700.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 90,0.9,3.0,4.0,3,Relatively New,1766.0,0.0,1.0,0.0,0.0,0.0,1.0,high,Mid Floor
house,sector 46,2.4,4.0,4.0,3,Moderately Old,900.0,0.0,0.0,1.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 82,1.28,3.0,3.0,3,Relatively New,1800.0,1.0,0.0,0.0,0.0,0.0,0.0,high,Mid Floor
flat,sector 60,3.7,4.0,5.0,3,Relatively New,2536.0,0.0,1.0,0.0,0.0,0.0,0.0,high,Mid Floor
flat,sector 104,1.1,2.0,2.0,3,Under Construction,1149.0,0.0,0.0,0.0,0.0,1.0,1.0,Medium,High Floor
flat,sector 37d,1.79,4.0,3.0,3,Relatively New,1810.0,0.0,0.0,0.0,0.0,1.0,0.0,Low,High Floor
house,sector 4,4.75,5.0,5.0,1,Old Property,5067.0,1.0,1.0,0.0,1.0,0.0,0.0,Low,Low Floor
flat,sector 74,1.78,2.0,2.0,3+,Relatively New,1582.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 91,1.75,4.0,3.0,3+,Relatively New,2108.0,1.0,1.0,1.0,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 107,0.94,2.0,2.0,3+,Moderately Old,1237.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Low Floor
flat,sector 84,1.1,3.0,3.0,2,Relatively New,1585.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 102,1.28,2.0,2.0,3,Relatively New,1101.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 86,0.42,2.0,2.0,1,New Property,557.0,1.0,1.0,0.0,1.0,1.0,1.0,Medium,Low Floor
flat,sector 104,2.3,3.0,4.0,3+,New Property,2544.0,0.0,1.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 67a,1.8,3.0,3.0,2,New Property,1552.0,1.0,0.0,1.0,0.0,0.0,0.0,high,Mid Floor
house,sector 26,6.75,3.0,3.0,3,Moderately Old,2430.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 43,5.25,4.0,4.0,3,Old Property,2570.0,0.0,1.0,0.0,1.0,1.0,1.0,Medium,Mid Floor
house,sector 2,5.0,6.0,4.0,0,Moderately Old,4000.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
house,sector 23,2.9,4.0,4.0,3,Relatively New,2500.0,0.0,1.0,0.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 108,2.6,3.0,3.0,2,New Property,1711.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,High Floor
flat,sector 103,0.8,2.0,2.0,0,Relatively New,1450.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 69,1.76,4.0,4.0,2,Relatively New,1821.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
house,sector 14,6.46,5.0,5.0,2,Moderately Old,3420.0,1.0,1.0,0.0,1.0,0.0,0.0,Low,Mid Floor
flat,sector 56,1.55,3.0,3.0,3+,Old Property,1800.0,0.0,1.0,0.0,1.0,1.0,1.0,high,Mid Floor
flat,sector 107,0.28,2.0,2.0,2,Relatively New,543.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
house,sector 38,2.1,2.0,7.0,3+,Relatively New,900.0,1.0,0.0,1.0,1.0,0.0,1.0,Low,Mid Floor
flat,sector 48,4.3,4.0,5.0,3+,New Property,3444.0,1.0,1.0,0.0,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 67,3.5,3.0,4.0,3,Relatively New,2226.0,0.0,1.0,1.0,0.0,0.0,0.0,high,High Floor
flat,sector 54,3.85,3.0,3.0,3+,Old Property,2120.0,0.0,1.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 24,14.0,4.0,5.0,3,Old Property,6300.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
house,sector 60,18.02,9.0,12.0,3+,Relatively New,6390.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 33,0.4,2.0,2.0,2,New Property,623.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 28,6.0,3.0,3.0,2,Moderately Old,2983.0,0.0,1.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 79,0.95,2.0,2.0,3,New Property,1386.0,1.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
house,sector 12,2.9,7.0,7.0,3,Old Property,2700.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
house,sector 55,2.8,4.0,4.0,0,Old Property,1500.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 69,1.55,3.0,3.0,2,Relatively New,1457.0,0.0,0.0,0.0,1.0,0.0,0.0,Medium,Low Floor
flat,sector 90,1.29,3.0,3.0,3,Relatively New,1540.0,1.0,0.0,0.0,0.0,0.0,1.0,high,Mid Floor
flat,sector 102,1.26,2.0,2.0,2,Relatively New,1101.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,manesar,0.9,3.0,3.0,3+,Moderately Old,1900.0,0.0,1.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 106,1.13,3.0,4.0,3+,Relatively New,1186.0,1.0,1.0,0.0,0.0,0.0,1.0,Low,High Floor
flat,sector 50,1.4,3.0,3.0,2,Relatively New,1246.0,0.0,0.0,1.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 104,2.49,3.0,3.0,3+,Relatively New,2219.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium,High Floor
flat,sector 14,2.2,3.0,4.0,3+,Old Property,1956.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 61,1.55,2.0,2.0,1,Under Construction,1042.0,1.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 68,0.9,2.0,2.0,2,New Property,1311.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
house,sector 4,3.25,3.0,3.0,2,Old Property,2250.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 67,3.4,3.0,4.0,3,Relatively New,2136.0,0.0,1.0,0.0,0.0,0.0,0.0,high,High Floor
house,sector 10a,3.6,3.0,4.0,3,Moderately Old,1836.0,0.0,0.0,0.0,1.0,0.0,0.0,Low,Mid Floor
flat,sector 2,0.6,1.0,1.0,1,Moderately Old,666.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 48,9.3,4.0,4.0,3+,Moderately Old,3831.0,1.0,1.0,1.0,1.0,0.0,0.0,Medium,Mid Floor
house,sector 67,5.46,4.0,5.0,3+,Relatively New,2259.0,1.0,0.0,1.0,1.0,0.0,0.0,Medium,Low Floor
flat,sector 99a,0.32,2.0,2.0,2,New Property,473.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Low Floor
flat,sector 37d,0.98,3.0,3.0,3+,Relatively New,1675.0,0.0,0.0,0.0,1.0,0.0,1.0,high,Mid Floor
flat,sector 109,1.4,3.0,3.0,3+,Relatively New,1466.0,0.0,0.0,1.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 109,1.75,3.0,4.0,3+,Relatively New,1947.0,0.0,1.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 99a,1.4,3.0,5.0,3+,New Property,1809.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 107,0.37,2.0,2.0,2,New Property,615.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
house,sector 24,3.25,4.0,4.0,3,Old Property,1070.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 56,2.05,4.0,4.0,3,Relatively New,2000.0,0.0,1.0,0.0,0.0,1.0,0.0,Low,Mid Floor
flat,sector 37d,1.36,3.0,3.0,3,Relatively New,1535.0,0.0,0.0,0.0,1.0,1.0,1.0,Low,Low Floor
house,sector 50,7.35,4.0,4.0,3+,Moderately Old,1760.0,0.0,1.0,0.0,1.0,0.0,0.0,Medium,Mid Floor
house,sector 7,1.75,4.0,2.0,2,Old Property,1575.0,0.0,0.0,0.0,0.0,1.0,1.0,Low,Low Floor
flat,sector 33,1.35,3.0,4.0,2,Moderately Old,1399.0,0.0,1.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 102,1.35,2.0,2.0,2,Relatively New,829.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
house,sector 26,5.5,4.0,4.0,3,Moderately Old,1800.0,1.0,1.0,0.0,1.0,0.0,1.0,Medium,Low Floor
house,sector 46,4.5,6.0,6.0,3+,Moderately Old,1845.0,0.0,0.0,1.0,0.0,0.0,0.0,Medium,Mid Floor
house,sector 31,4.6,2.0,2.0,2,Moderately Old,1426.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 95,0.38,2.0,2.0,1,New Property,610.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 49,1.69,3.0,3.0,3,Moderately Old,2178.0,0.0,0.0,0.0,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 43,2.0,3.0,3.0,2,Moderately Old,1274.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 106,3.9,3.0,3.0,0,Relatively New,2450.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 37d,0.8,2.0,2.0,2,Relatively New,861.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 85,1.35,2.0,2.0,3,Relatively New,102.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,High Floor
flat,sector 102,2.5,3.0,4.0,3+,New Property,1947.0,1.0,1.0,0.0,0.0,0.0,0.0,Medium,High Floor
flat,sector 89,1.3,3.0,3.0,2,New Property,1581.0,1.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 92,0.95,4.0,3.0,3,Moderately Old,1772.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 109,1.75,3.0,4.0,3+,Relatively New,1947.0,0.0,1.0,0.0,0.0,1.0,1.0,Medium,Low Floor
flat,sector 22,4.8,4.0,6.0,3+,New Property,2778.0,0.0,1.0,0.0,1.0,0.0,2.0,Low,Mid Floor
flat,sector 68,1.85,3.0,3.0,3+,Under Construction,1800.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,High Floor
flat,sector 70,1.1,3.0,2.0,2,Relatively New,1350.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 81,4.5,4.0,6.0,3+,Relatively New,3804.0,0.0,1.0,0.0,0.0,0.0,0.0,Low,High Floor
house,sector 39,1.6,1.0,1.0,2,Old Property,892.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 37c,1.44,3.0,3.0,3+,Relatively New,1790.0,1.0,1.0,0.0,0.0,1.0,1.0,Low,Low Floor
flat,sector 80,1.4,3.0,4.0,2,Moderately Old,1854.0,0.0,0.0,1.0,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 22,4.1,3.0,3.0,3+,New Property,2070.0,0.0,0.0,0.0,0.0,0.0,2.0,Medium,Low Floor
flat,sector 48,1.5,3.0,3.0,3,Old Property,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 89,1.0,2.0,2.0,3,New Property,1233.0,1.0,0.0,0.0,0.0,1.0,1.0,Medium,Mid Floor
flat,sector 52,1.4,3.0,3.0,3+,Relatively New,2556.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 83,1.15,3.0,3.0,1,Moderately Old,1607.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,Mid Floor
house,sector 89,0.7,2.0,2.0,2,New Property,1297.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,High Floor
flat,sector 85,2.1,4.0,4.0,3,Relatively New,2600.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 85,1.2,2.0,2.0,3,Relatively New,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,high,Mid Floor
flat,sector 85,1.2,2.0,2.0,3,Relatively New,1660.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,High Floor
flat,sector 65,2.01,2.0,2.0,3,New Property,1483.0,1.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
house,sector 43,8.49,3.0,3.0,2,Relatively New,2700.0,0.0,1.0,0.0,1.0,0.0,0.0,Low,Mid Floor
house,sector 37,0.75,4.0,2.0,2,Old Property,1170.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 82,0.85,2.0,2.0,2,Relatively New,1295.0,1.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sohna road,0.35,2.0,2.0,2,New Property,616.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,High Floor
house,sector 105,0.38,2.0,2.0,2,Moderately Old,56.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
house,sector 21,1.6,5.0,5.0,2,Relatively New,120.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
house,sector 26,13.5,5.0,5.0,3,Old Property,4518.0,1.0,1.0,1.0,1.0,0.0,0.0,Medium,Low Floor
flat,sector 81,0.5,2.0,2.0,3,Relatively New,700.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
house,sohna road,0.07,1.0,1.0,0,Relatively New,33.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 61,2.1,3.0,2.0,3,New Property,1535.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 37c,1.27,3.0,3.0,3,Relatively New,1582.0,1.0,0.0,0.0,0.0,1.0,1.0,Low,Low Floor
house,sector 51,2.25,6.0,3.0,3+,Relatively New,900.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 51,3.55,5.0,6.0,3+,Moderately Old,5200.0,1.0,1.0,1.0,1.0,0.0,0.0,high,High Floor
flat,sector 69,0.75,2.0,2.0,2,Moderately Old,1100.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 103,0.23,1.0,1.0,1,Relatively New,400.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 28,7.0,4.0,3.0,2,Moderately Old,2489.0,0.0,1.0,0.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 65,4.6,3.0,3.0,3,New Property,1717.0,1.0,1.0,1.0,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 81,2.12,3.0,3.0,3+,Relatively New,1650.0,1.0,1.0,0.0,1.0,1.0,2.0,Low,Mid Floor
flat,sector 113,3.05,3.0,4.0,3,Relatively New,2150.0,0.0,1.0,0.0,0.0,0.0,1.0,high,Mid Floor
flat,sector 83,0.95,2.0,2.0,3,Relatively New,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,Mid Floor
house,sector 3,0.55,1.0,1.0,0,Old Property,750.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Low Floor
