,property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
1786,1.0,59.0,6.0,5.0,3.0,0.0,3078.0,1.0,0.0,0.0,0.0,2.0,12.5
1787,1.0,24.0,2.0,6.0,4.0,3.0,1449.0,0.0,0.0,1.0,1.0,2.0,2.98
1788,0.0,63.0,4.0,5.0,4.0,3.0,3444.0,1.0,0.0,1.0,0.0,2.0,11.0
1789,0.0,113.0,2.0,2.0,3.0,3.0,1149.0,0.0,0.0,1.0,1.0,2.0,0.73
1790,0.0,97.0,3.0,3.0,2.0,0.0,1500.0,0.0,0.0,0.0,1.0,0.0,1.12
1791,0.0,27.0,1.0,1.0,1.0,0.0,666.0,0.0,0.0,0.0,1.0,2.0,0.6
1792,0.0,19.0,3.0,3.0,4.0,1.0,1980.0,1.0,0.0,1.0,1.0,2.0,2.48
1793,0.0,77.0,1.0,1.0,1.0,3.0,826.0,0.0,0.0,1.0,0.0,0.0,0.95
1794,0.0,2.0,3.0,2.0,2.0,0.0,1504.0,0.0,0.0,1.0,0.0,2.0,0.75
1795,1.0,35.0,6.0,7.0,4.0,0.0,3240.0,1.0,1.0,1.0,1.0,2.0,9.0
1796,0.0,56.0,5.0,6.0,4.0,3.0,7444.0,1.0,0.0,2.0,0.0,0.0,15.0
1797,0.0,100.0,2.0,2.0,2.0,2.0,573.0,0.0,0.0,1.0,0.0,2.0,0.5
1798,1.0,38.0,2.0,3.0,1.0,3.0,999.0,0.0,1.0,1.0,0.0,1.0,0.7
1799,0.0,82.0,2.0,2.0,2.0,3.0,992.0,0.0,0.0,1.0,0.0,2.0,0.53
1800,0.0,113.0,2.0,2.0,3.0,3.0,1132.0,0.0,0.0,1.0,0.0,2.0,0.95
1801,0.0,7.0,2.0,2.0,2.0,3.0,1223.0,0.0,0.0,1.0,0.0,1.0,0.9
1802,1.0,31.0,2.0,4.0,3.0,2.0,1080.0,0.0,0.0,1.0,0.0,2.0,3.5
1803,1.0,54.0,4.0,3.0,3.0,3.0,90.0,0.0,0.0,0.0,0.0,2.0,2.25
1804,1.0,23.0,2.0,2.0,1.0,2.0,900.0,1.0,0.0,1.0,0.0,1.0,1.07
1805,0.0,101.0,3.0,3.0,3.0,3.0,1993.0,0.0,0.0,1.0,0.0,0.0,1.45
1806,0.0,73.0,4.0,4.0,4.0,1.0,3950.0,0.0,0.0,1.0,1.0,0.0,7.9
1807,0.0,6.0,4.0,4.0,4.0,3.0,1958.0,0.0,0.0,1.0,1.0,0.0,2.4
1808,0.0,111.0,2.0,1.0,0.0,3.0,500.0,0.0,0.0,1.0,0.0,0.0,0.3
1809,0.0,111.0,3.0,5.0,3.0,1.0,1809.0,1.0,0.0,1.0,1.0,2.0,1.35
1810,0.0,111.0,2.0,2.0,2.0,1.0,502.0,0.0,0.0,1.0,1.0,0.0,0.32
1811,1.0,57.0,3.0,3.0,1.0,2.0,1386.0,0.0,0.0,0.0,1.0,1.0,2.75
1812,0.0,20.0,2.0,2.0,1.0,1.0,800.0,0.0,0.0,2.0,0.0,1.0,0.6
1813,0.0,41.0,2.0,2.0,2.0,4.0,85.0,0.0,0.0,1.0,1.0,2.0,1.31
1814,0.0,72.0,3.0,3.0,3.0,4.0,1600.0,0.0,0.0,1.0,0.0,2.0,4.25
1815,0.0,110.0,2.0,3.0,3.0,3.0,1611.0,1.0,0.0,1.0,0.0,2.0,0.95
1816,0.0,59.0,3.0,4.0,4.0,0.0,2450.0,1.0,0.0,0.0,2.0,2.0,3.1
1817,1.0,27.0,3.0,3.0,2.0,2.0,594.0,0.0,0.0,0.0,0.0,1.0,1.15
1818,0.0,62.0,3.0,3.0,4.0,3.0,2620.0,0.0,0.0,1.0,0.0,1.0,5.6
1819,0.0,65.0,3.0,3.0,3.0,2.0,1812.0,1.0,0.0,0.0,1.0,2.0,1.55
1820,1.0,33.0,3.0,3.0,3.0,2.0,8829.0,0.0,0.0,1.0,1.0,1.0,3.25
1821,0.0,100.0,3.0,3.0,3.0,3.0,1715.0,1.0,0.0,0.0,0.0,0.0,1.3
1822,0.0,6.0,3.0,3.0,3.0,3.0,1315.0,1.0,0.0,1.0,1.0,2.0,1.35
1823,0.0,107.0,4.0,4.0,0.0,3.0,2040.0,0.0,0.0,1.0,0.0,2.0,1.3
1824,0.0,99.0,4.0,4.0,4.0,3.0,2500.0,1.0,0.0,0.0,0.0,2.0,2.05
1825,0.0,94.0,3.0,3.0,4.0,3.0,1650.0,1.0,0.0,2.0,0.0,0.0,2.4
1826,0.0,113.0,2.0,2.0,1.0,1.0,699.0,0.0,0.0,1.0,1.0,1.0,0.35
1827,0.0,113.0,2.0,2.0,1.0,1.0,699.0,0.0,0.0,1.0,0.0,1.0,0.34
1828,0.0,103.0,3.0,3.0,2.0,1.0,1581.0,0.0,0.0,1.0,0.0,2.0,1.25
1829,0.0,106.0,2.0,2.0,2.0,3.0,1187.0,0.0,0.0,1.0,1.0,2.0,0.95
1830,0.0,11.0,3.0,2.0,2.0,3.0,717.0,0.0,0.0,1.0,0.0,2.0,0.5
1831,0.0,107.0,2.0,2.0,2.0,1.0,1084.0,0.0,0.0,0.0,0.0,1.0,0.78
1832,0.0,80.0,3.0,3.0,1.0,3.0,1393.0,0.0,0.0,1.0,1.0,0.0,1.38
1833,0.0,109.0,2.0,2.0,2.0,1.0,1256.0,0.0,0.0,1.0,1.0,0.0,0.55
1834,0.0,59.0,4.0,3.0,3.0,0.0,10000.0,1.0,0.0,1.0,0.0,2.0,8.0
1835,0.0,46.0,3.0,3.0,3.0,3.0,1990.0,0.0,0.0,1.0,1.0,2.0,1.1
1836,0.0,111.0,2.0,2.0,1.0,3.0,606.0,0.0,0.0,1.0,1.0,2.0,0.35
1837,0.0,13.0,4.0,4.0,2.0,3.0,2382.0,1.0,0.0,1.0,0.0,0.0,1.97
1838,1.0,15.0,7.0,3.0,0.0,0.0,300.0,0.0,0.0,1.0,0.0,2.0,1.2
1839,0.0,103.0,2.0,2.0,0.0,1.0,1103.0,0.0,0.0,1.0,0.0,1.0,0.88
1840,0.0,113.0,2.0,2.0,2.0,3.0,1044.0,0.0,0.0,1.0,1.0,1.0,0.65
1841,1.0,83.0,4.0,4.0,4.0,3.0,6000.0,1.0,0.0,1.0,2.0,1.0,4.0
1842,1.0,83.0,4.0,4.0,4.0,1.0,2332.0,1.0,0.0,0.0,2.0,1.0,6.5
1843,0.0,95.0,3.0,3.0,2.0,3.0,1588.0,0.0,0.0,0.0,0.0,0.0,1.12
1844,0.0,12.0,3.0,2.0,4.0,3.0,1344.0,1.0,0.0,0.0,1.0,1.0,1.36
1845,1.0,59.0,4.0,5.0,3.0,2.0,2160.0,1.0,0.0,0.0,1.0,2.0,6.8
1846,0.0,57.0,5.0,5.0,4.0,3.0,3727.0,1.0,0.0,1.0,0.0,0.0,4.79
1847,0.0,80.0,3.0,3.0,1.0,3.0,1393.0,0.0,0.0,1.0,1.0,0.0,1.36
1848,0.0,83.0,3.0,4.0,3.0,3.0,2350.0,1.0,0.0,1.0,0.0,0.0,2.8
1849,0.0,38.0,2.0,2.0,2.0,3.0,778.0,0.0,0.0,1.0,0.0,1.0,0.25
1850,0.0,58.0,1.0,1.0,1.0,3.0,648.0,0.0,0.0,1.0,0.0,2.0,0.26
1851,0.0,0.0,3.0,4.0,3.0,4.0,3094.0,0.0,0.0,1.0,0.0,2.0,1.65
1852,0.0,81.0,2.0,2.0,1.0,3.0,1000.0,0.0,0.0,1.0,1.0,2.0,0.54
1853,0.0,95.0,3.0,3.0,3.0,3.0,2000.0,1.0,0.0,0.0,1.0,0.0,1.37
1854,0.0,99.0,2.0,3.0,4.0,3.0,1577.0,0.0,1.0,1.0,1.0,2.0,1.04
1855,0.0,11.0,2.0,2.0,2.0,3.0,543.0,0.0,0.0,1.0,0.0,2.0,0.28
